STATIONS_ID,MESS_DATUM_BEGINN,MESS_DATUM_ENDE,QN_4,MO_TT,MO_TX,MO_TN,date_start,date_end,geo_lon,geo_lat,height,name,state
131,20060301,20060331,10,1.19,4.28,-1.83,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20060401,20060430,10,8.51,12.98,4.45,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20060501,20060531,10,13.42,18.61,8.26,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20060601,20060630,10,16.8,22.55,10.99,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20060701,20060731,10,22.47,29.04,16.01,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20060801,20060831,10,15.83,20.73,11.91,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20060901,20060930,10,17.32,22.92,12.29,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20061001,20061031,10,12.23,16.57,8.57,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20061101,20061130,10,7.29,10.59,4.42,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20061201,20061231,10,4.85,7.17,2.66,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20070101,20070131,10,4.58,6.73,1.65,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20070201,20070228,10,4.02,7.05,1.4,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20070301,20070331,10,6.35,10.76,2.36,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20070401,20070430,10,11,16.88,4.87,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20070501,20070531,10,14.71,20.65,8.79,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20070601,20070630,10,18.06,23.59,13.18,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20070701,20070731,10,17.92,23.06,13.22,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20070801,20070831,10,17.1,22.32,12.49,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20070901,20070930,10,12.39,16.65,8.45,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20071001,20071031,10,8.03,11.69,4.74,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20071101,20071130,10,3.01,5.26,0.89,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20071201,20071231,10,1.36,3.4,-0.63,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20080101,20080131,10,3.71,6.15,1.39,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20080201,20080229,10,4.09,7.26,0.94,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20080301,20080331,10,4.13,7.76,0.83,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20080401,20080430,10,7.47,11.65,3.66,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20080501,20080531,10,14.33,19.89,8.68,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20080601,20080630,10,16.96,22.75,11.46,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20080701,20080731,10,18.08,23.77,12.8,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20080801,20080831,10,17.51,22.74,12.78,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20080901,20080930,10,12.07,16.7,8.18,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20081001,20081031,10,9.08,13.06,5.47,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20081101,20081130,10,4.76,7.03,2.34,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20081201,20081231,10,1.04,3.05,-0.82,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20090101,20090131,10,-2.84,-0.06,-5.96,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20090201,20090228,10,0.08,2.57,-2.24,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20090301,20090331,10,4.22,7.48,1.26,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20090401,20090430,10,12.35,18.32,6.7,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20090501,20090531,10,13.32,18.56,7.83,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20090601,20090630,10,14.03,18.89,9.79,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20090701,20090731,10,17.94,23.34,13.24,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20090801,20090831,10,18.78,24.55,13.05,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20090901,20090930,10,14.71,19.78,10.47,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20091001,20091031,10,7.59,10.98,4.5,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20091101,20091130,10,7.38,10.24,4.82,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20091201,20091231,10,-0.23,2.26,-2.69,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20100101,20100131,10,-5.05,-2.96,-7.82,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20100201,20100228,10,-1.01,2.08,-4.13,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20100301,20100331,10,3.86,7.98,-0.15,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20100401,20100430,10,8.42,13.44,3.63,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20100501,20100531,10,10.34,14.32,6.86,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20100601,20100630,10,16.29,21.75,10.62,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20100701,20100731,10,20.51,26.37,14.7,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
131,20100801,20100831,10,16.78,21.3,12.85,20041101,20190128,12.9326,51.0881,296,Geringswalde-Altgeringswalde,Sachsen
